,type,filter_col,size,train_score,test_score,additional_col_0,additional_col_1,additional_col_2,additional_col_3,additional_col_4,additional_col_5,additional_col_6,additional_col_7,additional_col_8,additional_col_9,additional_col_10
1,low,flat_type,1975,0.7511138494953578,0.7009866027030887,Tranc_Year,Mall_Nearest_Distance,mrt_interchange,cutoff_point,,,,,,,
2,low,flat_type,1975,0.7568695332382291,0.7005436944747501,Tranc_Year,Mall_Within_500m,Hawker_Nearest_Distance,mrt_interchange,,,,,,,
3,low,flat_type,1975,0.7568486849863243,0.7023547533455228,Tranc_Year,Mall_Within_500m,mrt_interchange,cutoff_point,,,,,,,
4,low,flat_type,1975,0.7504399985401922,0.7005833752719709,Tranc_Year,Hawker_Nearest_Distance,mrt_interchange,cutoff_point,,,,,,,
5,low,flat_type,1975,0.7576214232216356,0.7006064039580705,Tranc_Year,Mall_Nearest_Distance,Mall_Within_500m,mrt_interchange,cutoff_point,,,,,,
6,low,flat_type,1975,0.7512453628875037,0.7006062229139098,Tranc_Year,Mall_Nearest_Distance,Hawker_Nearest_Distance,bus_interchange,mrt_interchange,,,,,,
7,low,flat_type,1975,0.752084486379126,0.7040704877133077,Tranc_Year,Mall_Nearest_Distance,Hawker_Nearest_Distance,mrt_interchange,cutoff_point,,,,,,
8,low,flat_type,1975,0.7513792831346429,0.7011605065982277,Tranc_Year,Mall_Nearest_Distance,Hawker_Within_500m,mrt_interchange,cutoff_point,,,,,,
9,low,flat_type,1975,0.7512601577692526,0.7016642837251253,Tranc_Year,Mall_Nearest_Distance,bus_interchange,mrt_interchange,cutoff_point,,,,,,
10,low,flat_type,1975,0.7511892905224563,0.700753963008105,Tranc_Year,Mall_Nearest_Distance,mrt_interchange,pri_sch_affiliation,cutoff_point,,,,,,
11,low,flat_type,1975,0.7514975689792416,0.7010762476817497,Tranc_Year,Mall_Nearest_Distance,mrt_interchange,sec_sch_nearest_dist,cutoff_point,,,,,,
12,low,flat_type,1975,0.7512065488281222,0.7017864541546001,Tranc_Year,Mall_Nearest_Distance,mrt_interchange,cutoff_point,affiliation,,,,,,
13,low,flat_type,1975,0.7569137475621768,0.7005453768241547,Tranc_Year,Mall_Within_500m,Hawker_Nearest_Distance,Hawker_Within_500m,mrt_interchange,,,,,,
14,low,flat_type,1975,0.7574234674060225,0.7022416171224601,Tranc_Year,Mall_Within_500m,Hawker_Nearest_Distance,bus_interchange,mrt_interchange,,,,,,
15,low,flat_type,1975,0.7569483551096976,0.7004262204435742,Tranc_Year,Mall_Within_500m,Hawker_Nearest_Distance,mrt_interchange,pri_sch_affiliation,,,,,,
16,low,flat_type,1975,0.7577609543816315,0.701121839996978,Tranc_Year,Mall_Within_500m,Hawker_Nearest_Distance,mrt_interchange,sec_sch_nearest_dist,,,,,,
17,low,flat_type,1975,0.7583966712152245,0.7061163979855187,Tranc_Year,Mall_Within_500m,Hawker_Nearest_Distance,mrt_interchange,cutoff_point,,,,,,
18,low,flat_type,1975,0.7568696440553602,0.7005530202422343,Tranc_Year,Mall_Within_500m,Hawker_Nearest_Distance,mrt_interchange,affiliation,,,,,,
