,word,url,word_class,definition
0,time,https://www.dictionary.com/browse/time,noun,"the system of those sequential relations that any event has to any other, as past, present, or future; indefinite and continuous duration regarded as that in which events succeed one another."
1,year,https://www.dictionary.com/browse/year,noun,"a period of 365 or 366 days, in the gregorian calendar, divided into 12 calendar months, now reckoned as beginning jan. 1 and ending dec. 31 (calendar year,  or civil year ).compare common year, leap year. "
2,people,https://www.dictionary.com/browse/people,noun,persons indefinitely or collectively; persons in general: to find it easy to talk to people; what will people think?
3,way,https://www.dictionary.com/browse/way,noun,"manner, mode, or fashion: a new way of looking at a matter; to reply in a polite way."
4,man,https://www.dictionary.com/browse/man,noun,"an adult male person. compare woman (def. 1), boy (def. 1). "
5,day,https://www.dictionary.com/browse/day,noun,"the interval of light between two successive nights; the time between sunrise and sunset: since there was no artificial illumination, all activities had to be carried on during the day. "
6,thing,https://www.dictionary.com/browse/thing,noun,a material object without life or consciousness; an inanimate object.
7,child,https://www.dictionary.com/browse/child,noun,a person between birth and puberty or full growth: books for children.
8,government,https://www.dictionary.com/browse/government,noun,"the political direction and control exercised over the actions of the members, citizens, or inhabitants of communities, societies, and states; direction of the affairs of a state, community, etc.; political administration: government is necessary to the existence of civilized society."
9,work,https://www.dictionary.com/browse/work,noun,exertion or effort directed to produce or accomplish something; labor; toil. 
10,life,https://www.dictionary.com/browse/life,noun,"the condition that distinguishes organisms from inorganic objects and dead organisms, being manifested by growth through metabolism, reproduction, and the power of adaptation to environment through changes originating internally."
11,woman,https://www.dictionary.com/browse/woman,noun,"an adult female person.compare man (def. 1), girl (def. 1). "
12,system,https://www.dictionary.com/browse/system,noun,an assemblage or combination of things or parts forming a complex or unitary whole: a mountain system; a railroad system.
13,case,https://www.dictionary.com/browse/case,noun,"an instance of the occurrence, existence, etc., of something: sailing in such a storm was a case of poor judgment."
14,part,https://www.dictionary.com/browse/part,noun,"a portion or division of a whole that is separate or distinct; piece, fragment, fraction, or section; constituent: the rear part of the house;to glue the two parts together."
15,group,https://www.dictionary.com/browse/group,noun,any collection or assemblage of persons or things; cluster; aggregation: a group of protesters; a remarkable group of paintings.
16,number,https://www.dictionary.com/browse/number,noun,a numeral or group of numerals.
17,world,https://www.dictionary.com/browse/world,noun,"the earth or globe, considered as a planet."
18,house,https://www.dictionary.com/browse/house,noun,a building in which people live; residence for human beings.
19,area,https://www.dictionary.com/browse/area,noun,any particular extent of space or surface; part: the dark areas in the painting; the dusty area of the room.
20,company,https://www.dictionary.com/browse/company,noun,a number of individuals assembled or associated together; group of people.
21,problem,https://www.dictionary.com/browse/problem,noun,"any question or matter involving doubt, uncertainty, or difficulty."
22,service,https://www.dictionary.com/browse/service,noun,an act of helpful activity; help; aid: to do someone a service.
23,place,https://www.dictionary.com/browse/place,noun,"a particular portion of space, whether of definite or indefinite extent."
24,hand,https://www.dictionary.com/browse/hand,noun,"the terminal, prehensile part of the upper limb in humans and other primates, consisting of the wrist, metacarpal area, fingers, and thumb."
25,party,https://www.dictionary.com/browse/party,noun,"a social gathering, as of invited guests at a private home, for conversation, refreshments, entertainment, etc.: a cocktail party."
26,school,https://www.dictionary.com/browse/school,noun,"an institution where instruction is given, especially to persons under college age: the children are at school."
27,country,https://www.dictionary.com/browse/country,noun,a state or nation: what european countries have you visited?
28,point,https://www.dictionary.com/browse/point,noun,"a sharp or tapering end, as of a dagger."
29,week,https://www.dictionary.com/browse/week,noun,a period of seven successive days: that wallpapering i thought i could do in two days ended up taking me a whole week.
30,member,https://www.dictionary.com/browse/member,noun,"a person, animal, plant, group, etc., that is part of a society, party, community, taxon, or other body."
31,end,https://www.dictionary.com/browse/end,noun,"the last part or extremity, lengthwise, of anything that is longer than it is wide or broad: the end of a street;the end of a rope."
32,state,https://www.dictionary.com/browse/state,noun,"the condition of a person or thing, as with respect to circumstances or attributes: a state of health."
33,word,https://www.dictionary.com/browse/word,noun,"a unit of language, consisting of one or more spoken sounds or their written representation, that functions as a principal carrier of meaning. words are composed of one or more morphemes and are either the smallest units susceptible of independent use or consist of two or three such units combined under certain linking conditions, as with the loss of primary accent that distinguishes the one-word blackbird (primary stress on “black”, and secondary stress on “bird”) from black bird (primary stress on both words). words are usually separated by spaces in writing, and are distinguished phonologically, as by accent, in many languages."
34,family,https://www.dictionary.com/browse/family,noun," a basic social unit consisting of parents and their children, considered as a group, whether dwelling together or not: the traditional family. a social unit consisting of one or more adults together with the children they care for: a single-parent family."
35,fact,https://www.dictionary.com/browse/fact,noun,something that actually exists; reality; truth: your fears have no basis in fact.
36,head,https://www.dictionary.com/browse/head,noun,"the upper part of the body in humans, joined to the torso by the neck and containing the brain, eyes, ears, nose, and mouth."
37,month,https://www.dictionary.com/browse/month,noun,"also called calendar month.  any of the twelve parts, as january or february, into which the calendar year is divided."
38,side,https://www.dictionary.com/browse/side,noun,"one of the surfaces forming the outside of or bounding a thing, or one of the lines bounding a geometric figure."
39,business,https://www.dictionary.com/browse/business,noun,"an occupation, profession, or trade: his business is poultry farming."
40,night,https://www.dictionary.com/browse/night,noun,the period of darkness between sunset and sunrise.
41,eye,https://www.dictionary.com/browse/eye,noun,"the organ of sight, in vertebrates typically one of a pair of spherical bodies contained in an orbit of the skull and in humans appearing externally as a dense, white, curved membrane, or sclera, surrounding a circular, colored portion, or iris, that is covered by a clear, curved membrane, or cornea, and in the center of which is an opening, or pupil, through which light passes to the retina."
42,home,https://www.dictionary.com/browse/home,noun,"a house, apartment, or other shelter that is the usual residence of a person, family, or household."
43,question,https://www.dictionary.com/browse/question,noun,"a sentence in an interrogative form, addressed to someone in order to get information in reply."
44,information,https://www.dictionary.com/browse/information,noun,knowledge communicated or received concerning a particular fact or circumstance; news: information concerning a crime.
45,power,https://www.dictionary.com/browse/power,noun,ability to do or act; capability of doing or accomplishing something.
46,change,https://www.dictionary.com/browse/change,noun,the act or fact of changing; fact of being changed: they are pleased by the change in their son's behavior.
47,interest,https://www.dictionary.com/browse/interest,noun,"the feeling of a person whose attention, concern, or curiosity is particularly engaged by something: she has a great interest in the poetry of donne."
48,development,https://www.dictionary.com/browse/development,noun,the act or process of developing;  growth; progress: child development; economic development.
49,money,https://www.dictionary.com/browse/money,noun,"any circulating medium of exchange, including coins, paper money,  and demand deposits."
50,book,https://www.dictionary.com/browse/book,noun,"a handwritten or printed work of fiction or nonfiction, usually on sheets of paper fastened or bound together within covers."
51,water,https://www.dictionary.com/browse/water,noun,"a transparent, odorless, tasteless liquid, a compound of hydrogen and oxygen, h2o, freezing at 32°f or 0°c and boiling at 212°f or 100°c, that in a more or less impure state constitutes rain, oceans, lakes, rivers, etc.: it contains 11.188 percent hydrogen and 88.812 percent oxygen, by weight."
52,other,https://www.dictionary.com/browse/other,noun,the other one: each praises the other.
53,form,https://www.dictionary.com/browse/form,noun,"external appearance of a clearly defined area, as distinguished from color or material; configuration: a triangular form."
54,room,https://www.dictionary.com/browse/room,noun,"a portion of space within a building or other structure, separated by walls or partitions from other parts: a dining room."
55,level,https://www.dictionary.com/browse/level,noun,a device used for determining or adjusting something to a horizontal surface.
56,car,https://www.dictionary.com/browse/car,noun,"a vehicle running on rails, as a streetcar  or railroad car."
57,council,https://www.dictionary.com/browse/council,noun,"an assembly of persons summoned or convened for consultation, deliberation, or advice."
58,policy,https://www.dictionary.com/browse/policy,noun,"a definite course of action adopted for the sake of expediency, facility, etc.: we have a new company policy."
59,market,https://www.dictionary.com/browse/market,noun,an open place or a covered building where buyers and sellers convene for the sale of goods; a marketplace: a farmers' market.
60,court,https://www.dictionary.com/browse/court,noun,law.  a place where justice is administered. a judicial tribunal duly constituted for the hearing and determination of cases. a session of a judicial assembly.
61,effect,https://www.dictionary.com/browse/effect,noun,something that is produced by an agency or cause; result; consequence: exposure to the sun had the effect of toughening his skin.
62,result,https://www.dictionary.com/browse/result,noun,something that happens as a consequence; outcome.
63,idea,https://www.dictionary.com/browse/idea,noun,"any conception existing in the mind as a result of mental understanding, awareness, or activity."
64,use,https://www.dictionary.com/browse/use,noun,"the act of employing, using, or putting into service: the use of tools. "
65,study,https://www.dictionary.com/browse/study,noun,"application of the mind to the acquisition of knowledge, as by reading, investigation, or reflection: long hours of study."
66,job,https://www.dictionary.com/browse/job,noun,"a piece of work, especially a specific task done as part of the routine of one's occupation or for an agreed price: she gave him the job of mowing the lawn."
67,name,https://www.dictionary.com/browse/name,noun,"a word or a combination of words by which a person, place, or thing, a body or class, or any object of thought is designated, called, or known."
68,body,https://www.dictionary.com/browse/body,noun,"the physical structure and material substance of an animal or plant, living or dead."
69,report,https://www.dictionary.com/browse/report,noun,"an account or statement describing in detail an event, situation, or the like, usually as the result of observation, inquiry, etc.: a report on the peace conference; a medical report on the patient."
70,line,https://www.dictionary.com/browse/line,noun,"a mark or stroke long in proportion to its breadth, made with a pen, pencil, tool, etc., on a surface: a line down the middle of the page."
71,law,https://www.dictionary.com/browse/law,noun,"the principles and regulations established in a community by some authority and applicable to its people, whether in the form of legislation or of custom and policies recognized and enforced by judicial decision."
72,face,https://www.dictionary.com/browse/face,noun,"the front part of the head, from the forehead to the chin."
73,friend,https://www.dictionary.com/browse/friend,noun,a person attached to another by feelings of affection or personal regard.
74,authority,https://www.dictionary.com/browse/authority,noun,"the power to determine, adjudicate, or otherwise settle issues or disputes; jurisdiction; the right to control, command, or determine."
75,road,https://www.dictionary.com/browse/road,noun,"a long, narrow stretch with a smoothed or paved surface, made for traveling by motor vehicle, carriage, etc., between two or more points; street or highway."
76,minister,https://www.dictionary.com/browse/minister,noun,a person authorized to conduct religious worship; member of the clergy; pastor.
77,rate,https://www.dictionary.com/browse/rate,noun,the amount of a charge or payment with reference to some basis of calculation: a high rate of interest on loans.
78,door,https://www.dictionary.com/browse/door,noun,"a movable, usually solid, barrier for opening and closing an entranceway, cupboard, cabinet, or the like, commonly turning on hinges or sliding in grooves."
79,hour,https://www.dictionary.com/browse/hour,noun,a period of time equal to one twenty-fourth of a mean solar or civil day and equivalent to 60 minutes: he slept for an hour.
80,office,https://www.dictionary.com/browse/office,noun,"a room, set of rooms, or building where the business of a commercial or industrial organization or of a professional person is conducted: the main office of an insurance company; a doctor's office."
81,right,https://www.dictionary.com/browse/right,noun,"a just claim or title, whether legal, prescriptive, or moral: you have a right to say what you please."
82,war,https://www.dictionary.com/browse/war,noun,"a conflict carried on by force of arms, as between nations or between parties within a nation; warfare, as by land, sea, or air."
83,mother,https://www.dictionary.com/browse/mother,noun,(often initial capital letter) one's female parent.
84,person,https://www.dictionary.com/browse/person,noun,"a human being, whether an adult or child: the table seats four persons."
85,reason,https://www.dictionary.com/browse/reason,noun,"a basis or cause, as for some belief, action, fact, event, etc.: the reasons for declaring war."
86,view,https://www.dictionary.com/browse/view,noun,an instance of seeing or beholding; visual inspection.
87,term,https://www.dictionary.com/browse/term,noun,"a word or group of words designating something, especially in a particular field, as atom in physics, quietism in theology, adze in carpentry, or district leader in politics."
88,period,https://www.dictionary.com/browse/period,noun,"a rather large interval of time that is meaningful in the life of a person, in history, etc., because of its particular characteristics: a period of illness; a period of great profitability for a company; a period of social unrest in germany."
89,figure,https://www.dictionary.com/browse/figure,noun,"a numerical symbol, especially an arabic numeral."
90,society,https://www.dictionary.com/browse/society,noun,"an organized group of persons associated together for religious, benevolent, cultural, scientific, political, patriotic, or other purposes."
91,police,https://www.dictionary.com/browse/police,noun,"also called police force.  an organized civil force for maintaining order, preventing and detecting crime, and enforcing the laws."
92,city,https://www.dictionary.com/browse/city,noun,a large or important town.
93,need,https://www.dictionary.com/browse/need,noun,"a requirement, necessary duty, or obligation: there is no need for you to go there."
94,community,https://www.dictionary.com/browse/community,noun,"a social group of any size whose members reside in a specific locality, share government, and often have a common cultural and historical heritage."
95,million,https://www.dictionary.com/browse/million,noun,"a cardinal number, a thousand times one thousand."
96,kind,https://www.dictionary.com/browse/kind,noun,"a class or group of individual objects, people, animals, etc., of the same nature or character, or classified together because they have traits in common; category: our dog is the same kind as theirs."
97,price,https://www.dictionary.com/browse/price,noun,"the sum or amount of money or its equivalent for which anything is bought, sold, or offered for sale."
98,control,https://www.dictionary.com/browse/control,noun,the act or power of controlling; regulation;  domination or command: who's in control here?
99,action,https://www.dictionary.com/browse/action,noun,the process or state of acting or of being active: the machine is not in action now.
100,cost,https://www.dictionary.com/browse/cost,noun,"the price paid to acquire, produce, accomplish, or maintain anything: the high cost of a good meal."
101,issue,https://www.dictionary.com/browse/issue,noun,the act of sending out or putting forth; promulgation; distribution: the issue of food and blankets to flood victims.
102,process,https://www.dictionary.com/browse/process,noun,a systematic series of actions directed to some end: to devise a process for homogenizing milk.
103,position,https://www.dictionary.com/browse/position,noun,condition with reference to place; location; situation.
104,course,https://www.dictionary.com/browse/course,noun,a direction or route taken or to be taken.
105,minute,https://www.dictionary.com/browse/minute,noun,the sixtieth part (1/60) of an hour; sixty seconds.
106,education,https://www.dictionary.com/browse/education,noun,"the act or process of imparting or acquiring general knowledge, developing the powers of reasoning and judgment, and generally of preparing oneself or others intellectually for mature life."
107,type,https://www.dictionary.com/browse/type,noun,"a number of things or persons sharing a particular characteristic, or set of characteristics, that causes them to be regarded as a group, more or less precisely defined or designated; class; category: a criminal of the most vicious type."
108,research,https://www.dictionary.com/browse/research,noun,"diligent and systematic inquiry or investigation into a subject in order to discover or revise facts, theories, applications, etc.: recent research in medicine."
109,subject,https://www.dictionary.com/browse/subject,noun,"that which forms a basic matter of thought, discussion, investigation, etc.: a subject of conversation."
110,girl,https://www.dictionary.com/browse/girl,noun,"a female child, from birth to full growth."
111,moment,https://www.dictionary.com/browse/moment,noun,an indefinitely short period of time; instant: i'll be with you in a moment.
112,age,https://www.dictionary.com/browse/age,noun,the length of time during which a being or thing has existed; length of life or existence to the time spoken of or referred to: trees of unknown age; his age is 20 years.
