,word,url,word_class,definition,tokens,pos,pos_str,definitions_and_pos,length
0,time,https://www.dictionary.com/browse/time,0,"the system of those sequential relations that any event has to any other, as past, present, or future; indefinite and continuous duration regarded as that in which events succeed one another.","['the', 'system', 'of', 'those', 'sequential', 'relations', 'that', 'any', 'event', 'has', 'to', 'any', 'other', ',', 'as', 'past', ',', 'present', ',', 'or', 'future', ';', 'indefinite', 'and', 'continuous', 'duration', 'regarded', 'as', 'that', 'in', 'which', 'events', 'succeed', 'one', 'another', '.']","['DET', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'PRON', 'DET', 'NOUN', 'VERB', 'ADP', 'DET', 'ADJ', 'PUNCT', 'ADV', 'ADJ', 'PUNCT', 'ADJ', 'PUNCT', 'CCONJ', 'ADJ', 'PUNCT', 'ADJ', 'CCONJ', 'ADJ', 'NOUN', 'VERB', 'ADP', 'PRON', 'ADP', 'PRON', 'NOUN', 'VERB', 'NOUN', 'DET', 'PUNCT']",det noun adp det adj noun pron det noun verb adp det adj punct adv adj punct adj punct cconj adj punct adj cconj adj noun verb adp pron adp pron noun verb noun det punct,"the system of those sequential relations that any event has to any other, as past, present, or future; indefinite and continuous duration regarded as that in which events succeed one another.det noun adp det adj noun pron det noun verb adp det adj punct adv adj punct adj punct cconj adj punct adj cconj adj noun verb adp pron adp pron noun verb noun det punct",36
1,year,https://www.dictionary.com/browse/year,0,"a period of 365 or 366 days, in the gregorian calendar, divided into 12 calendar months, now reckoned as beginning jan. 1 and ending dec. 31 (calendar year,  or civil year ).compare common year, leap year. ","['a', 'period', 'of', '365', 'or', '366', 'days', ',', 'in', 'the', 'gregorian', 'calendar', ',', 'divided', 'into', '12', 'calendar', 'months', ',', 'now', 'reckoned', 'as', 'beginning', 'jan', '.', '1', 'and', 'ending', 'dec', '.', '31', '(', 'calendar', 'year', ',', ' ', 'or', 'civil', 'year', ')', '.compare', 'common', 'year', ',', 'leap', 'year', '.']","['DET', 'NOUN', 'ADP', 'NUM', 'CCONJ', 'NUM', 'NOUN', 'PUNCT', 'ADP', 'DET', 'ADJ', 'NOUN', 'PUNCT', 'VERB', 'ADP', 'NUM', 'NOUN', 'NOUN', 'PUNCT', 'ADV', 'VERB', 'ADP', 'VERB', 'PROPN', 'PROPN', 'NUM', 'CCONJ', 'VERB', 'PROPN', 'PROPN', 'NUM', 'PUNCT', 'NOUN', 'NOUN', 'PUNCT', 'SPACE', 'CCONJ', 'ADJ', 'NOUN', 'PUNCT', 'VERB', 'ADJ', 'NOUN', 'PUNCT', 'PROPN', 'PROPN', 'PUNCT']",det noun adp num cconj num noun punct adp det adj noun punct verb adp num noun noun punct adv verb adp verb propn propn num cconj verb propn propn num punct noun noun punct space cconj adj noun punct verb adj noun punct propn propn punct,"a period of 365 or 366 days, in the gregorian calendar, divided into 12 calendar months, now reckoned as beginning jan. 1 and ending dec. 31 (calendar year,  or civil year ).compare common year, leap year. det noun adp num cconj num noun punct adp det adj noun punct verb adp num noun noun punct adv verb adp verb propn propn num cconj verb propn propn num punct noun noun punct space cconj adj noun punct verb adj noun punct propn propn punct",47
2,people,https://www.dictionary.com/browse/people,0,persons indefinitely or collectively; persons in general: to find it easy to talk to people; what will people think?,"['persons', 'indefinitely', 'or', 'collectively', ';', 'persons', 'in', 'general', ':', 'to', 'find', 'it', 'easy', 'to', 'talk', 'to', 'people', ';', 'what', 'will', 'people', 'think', '?']","['NOUN', 'ADV', 'CCONJ', 'ADV', 'PUNCT', 'NOUN', 'ADP', 'ADJ', 'PUNCT', 'PART', 'VERB', 'PRON', 'ADJ', 'PART', 'VERB', 'ADP', 'NOUN', 'PUNCT', 'PRON', 'AUX', 'NOUN', 'VERB', 'PUNCT']",noun adv cconj adv punct noun adp adj punct part verb pron adj part verb adp noun punct pron aux noun verb punct,persons indefinitely or collectively; persons in general: to find it easy to talk to people; what will people think?noun adv cconj adv punct noun adp adj punct part verb pron adj part verb adp noun punct pron aux noun verb punct,23
3,way,https://www.dictionary.com/browse/way,0,"manner, mode, or fashion: a new way of looking at a matter; to reply in a polite way.","['manner', ',', 'mode', ',', 'or', 'fashion', ':', 'a', 'new', 'way', 'of', 'looking', 'at', 'a', 'matter', ';', 'to', 'reply', 'in', 'a', 'polite', 'way', '.']","['PROPN', 'PUNCT', 'NOUN', 'PUNCT', 'CCONJ', 'NOUN', 'PUNCT', 'DET', 'ADJ', 'NOUN', 'ADP', 'VERB', 'ADP', 'DET', 'NOUN', 'PUNCT', 'PART', 'VERB', 'ADP', 'DET', 'ADJ', 'NOUN', 'PUNCT']",propn punct noun punct cconj noun punct det adj noun adp verb adp det noun punct part verb adp det adj noun punct,"manner, mode, or fashion: a new way of looking at a matter; to reply in a polite way.propn punct noun punct cconj noun punct det adj noun adp verb adp det noun punct part verb adp det adj noun punct",23
4,man,https://www.dictionary.com/browse/man,0,"an adult male person. compare woman (def. 1), boy (def. 1). ","['an', 'adult', 'male', 'person', '.', 'compare', 'woman', '(', 'def', '.', '1', ')', ',', 'boy', '(', 'def', '.', '1', ')', '.']","['DET', 'NOUN', 'ADJ', 'NOUN', 'PUNCT', 'ADJ', 'NOUN', 'PUNCT', 'PROPN', 'PROPN', 'NUM', 'PUNCT', 'PUNCT', 'INTJ', 'PUNCT', 'PROPN', 'PROPN', 'NUM', 'PUNCT', 'PUNCT']",det noun adj noun punct adj noun punct propn propn num punct punct intj punct propn propn num punct punct,"an adult male person. compare woman (def. 1), boy (def. 1). det noun adj noun punct adj noun punct propn propn num punct punct intj punct propn propn num punct punct",20
5,day,https://www.dictionary.com/browse/day,0,"the interval of light between two successive nights; the time between sunrise and sunset: since there was no artificial illumination, all activities had to be carried on during the day. ","['the', 'interval', 'of', 'light', 'between', 'two', 'successive', 'nights', ';', 'the', 'time', 'between', 'sunrise', 'and', 'sunset', ':', 'since', 'there', 'was', 'no', 'artificial', 'illumination', ',', 'all', 'activities', 'had', 'to', 'be', 'carried', 'on', 'during', 'the', 'day', '.']","['DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NUM', 'ADJ', 'NOUN', 'PUNCT', 'DET', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'PUNCT', 'SCONJ', 'PRON', 'VERB', 'DET', 'ADJ', 'NOUN', 'PUNCT', 'DET', 'NOUN', 'VERB', 'PART', 'AUX', 'VERB', 'ADP', 'ADP', 'DET', 'NOUN', 'PUNCT']",det noun adp noun adp num adj noun punct det noun adp noun cconj noun punct sconj pron verb det adj noun punct det noun verb part aux verb adp adp det noun punct,"the interval of light between two successive nights; the time between sunrise and sunset: since there was no artificial illumination, all activities had to be carried on during the day. det noun adp noun adp num adj noun punct det noun adp noun cconj noun punct sconj pron verb det adj noun punct det noun verb part aux verb adp adp det noun punct",34
6,thing,https://www.dictionary.com/browse/thing,0,a material object without life or consciousness; an inanimate object.,"['a', 'material', 'object', 'without', 'life', 'or', 'consciousness', ';', 'an', 'inanimate', 'object', '.']","['DET', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'PUNCT', 'DET', 'ADJ', 'NOUN', 'PUNCT']",det noun noun adp noun cconj noun punct det adj noun punct,a material object without life or consciousness; an inanimate object.det noun noun adp noun cconj noun punct det adj noun punct,12
7,child,https://www.dictionary.com/browse/child,0,a person between birth and puberty or full growth: books for children.,"['a', 'person', 'between', 'birth', 'and', 'puberty', 'or', 'full', 'growth', ':', 'books', 'for', 'children', '.']","['DET', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'CCONJ', 'ADJ', 'NOUN', 'PUNCT', 'NOUN', 'ADP', 'NOUN', 'PUNCT']",det noun adp noun cconj noun cconj adj noun punct noun adp noun punct,a person between birth and puberty or full growth: books for children.det noun adp noun cconj noun cconj adj noun punct noun adp noun punct,14
8,government,https://www.dictionary.com/browse/government,0,"the political direction and control exercised over the actions of the members, citizens, or inhabitants of communities, societies, and states; direction of the affairs of a state, community, etc.; political administration: government is necessary to the existence of civilized society.","['the', 'political', 'direction', 'and', 'control', 'exercised', 'over', 'the', 'actions', 'of', 'the', 'members', ',', 'citizens', ',', 'or', 'inhabitants', 'of', 'communities', ',', 'societies', ',', 'and', 'states', ';', 'direction', 'of', 'the', 'affairs', 'of', 'a', 'state', ',', 'community', ',', 'etc', '.', ';', 'political', 'administration', ':', 'government', 'is', 'necessary', 'to', 'the', 'existence', 'of', 'civilized', 'society', '.']","['DET', 'ADJ', 'NOUN', 'CCONJ', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'CCONJ', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'CCONJ', 'NOUN', 'PUNCT', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'X', 'X', 'PUNCT', 'ADJ', 'NOUN', 'PUNCT', 'NOUN', 'AUX', 'ADJ', 'ADP', 'DET', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'PUNCT']",det adj noun cconj noun verb adp det noun adp det noun punct noun punct cconj noun adp noun punct noun punct cconj noun punct noun adp det noun adp det noun punct noun punct x x punct adj noun punct noun aux adj adp det noun adp adj noun punct,"the political direction and control exercised over the actions of the members, citizens, or inhabitants of communities, societies, and states; direction of the affairs of a state, community, etc.; political administration: government is necessary to the existence of civilized society.det adj noun cconj noun verb adp det noun adp det noun punct noun punct cconj noun adp noun punct noun punct cconj noun punct noun adp det noun adp det noun punct noun punct x x punct adj noun punct noun aux adj adp det noun adp adj noun punct",51
9,work,https://www.dictionary.com/browse/work,0,exertion or effort directed to produce or accomplish something; labor; toil. ,"['exertion', 'or', 'effort', 'directed', 'to', 'produce', 'or', 'accomplish', 'something', ';', 'labor', ';', 'toil', '.']","['NOUN', 'CCONJ', 'NOUN', 'VERB', 'PART', 'VERB', 'CCONJ', 'VERB', 'PRON', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT']",noun cconj noun verb part verb cconj verb pron punct noun punct noun punct,exertion or effort directed to produce or accomplish something; labor; toil. noun cconj noun verb part verb cconj verb pron punct noun punct noun punct,14
