,year,month,day,daily_rainfall_total,highest_30_min_rainfall,highest_60_min_rainfall,highest_120_min_rainfall,mean_temperature,maximum_temperature,minimum_temperature,mean_wind_speed,max_wind_speed
0,1980,1,1,0.0,—,—,—,—,—,—,—,—
1,1980,1,2,0.0,—,—,—,—,—,—,—,—
2,1980,1,3,0.0,—,—,—,—,—,—,—,—
3,1980,1,4,0.0,—,—,—,—,—,—,—,—
4,1980,1,5,8.0,—,—,—,—,—,—,—,—
5,1980,1,6,9.1,—,—,—,—,—,—,—,—
6,1980,1,7,7.9,—,—,—,—,—,—,—,—
7,1980,1,8,0.0,—,—,—,—,—,—,—,—
8,1980,1,9,0.0,—,—,—,—,—,—,—,—
9,1980,1,10,0.0,—,—,—,—,—,—,—,—
10,1980,1,11,0.0,—,—,—,—,—,—,—,—
11,1980,1,12,0.0,—,—,—,—,—,—,—,—
12,1980,1,13,0.0,—,—,—,—,—,—,—,—
13,1980,1,14,0.0,—,—,—,—,—,—,—,—
14,1980,1,15,0.0,—,—,—,—,—,—,—,—
15,1980,1,16,0.0,—,—,—,—,—,—,—,—
16,1980,1,17,0.0,—,—,—,—,—,—,—,—
17,1980,1,18,2.4,—,—,—,—,—,—,—,—
18,1980,1,19,153.3,—,—,—,—,—,—,—,—
19,1980,1,20,119.8,—,—,—,—,—,—,—,—
20,1980,1,21,0.5,—,—,—,—,—,—,—,—
21,1980,1,22,0.0,—,—,—,—,—,—,—,—
22,1980,1,23,0.0,—,—,—,—,—,—,—,—
23,1980,1,24,0.0,—,—,—,—,—,—,—,—
24,1980,1,25,0.0,—,—,—,—,—,—,—,—
25,1980,1,26,4.6,—,—,—,—,—,—,—,—
26,1980,1,27,0.0,—,—,—,—,—,—,—,—
27,1980,1,28,0.0,—,—,—,—,—,—,—,—
28,1980,1,29,0.0,—,—,—,—,—,—,—,—
29,1980,1,30,0.0,—,—,—,—,—,—,—,—
30,1980,1,31,0.5,—,—,—,—,—,—,—,—
31,1980,2,1,39.4,—,—,—,—,—,—,—,—
32,1980,2,2,0.0,—,—,—,—,—,—,—,—
33,1980,2,3,10.6,—,—,—,—,—,—,—,—
34,1980,2,4,0.0,—,—,—,—,—,—,—,—
35,1980,2,5,8.0,—,—,—,—,—,—,—,—
36,1980,2,6,0.0,—,—,—,—,—,—,—,—
37,1980,2,7,0.0,—,—,—,—,—,—,—,—
38,1980,2,8,0.0,—,—,—,—,—,—,—,—
39,1980,2,9,0.0,—,—,—,—,—,—,—,—
40,1980,2,10,0.0,—,—,—,—,—,—,—,—
41,1980,2,11,0.6,—,—,—,—,—,—,—,—
42,1980,2,12,0.0,—,—,—,—,—,—,—,—
43,1980,2,13,0.0,—,—,—,—,—,—,—,—
44,1980,2,14,0.0,—,—,—,—,—,—,—,—
45,1980,2,15,0.0,—,—,—,—,—,—,—,—
46,1980,2,16,0.0,—,—,—,—,—,—,—,—
47,1980,2,17,0.0,—,—,—,—,—,—,—,—
48,1980,2,18,1.4,—,—,—,—,—,—,—,—
49,1980,2,19,0.2,—,—,—,—,—,—,—,—
50,1980,2,20,2.3,—,—,—,—,—,—,—,—
51,1980,2,21,0.0,—,—,—,—,—,—,—,—
52,1980,2,22,0.4,—,—,—,—,—,—,—,—
53,1980,2,23,0.0,—,—,—,—,—,—,—,—
54,1980,2,24,1.3,—,—,—,—,—,—,—,—
55,1980,2,25,8.8,—,—,—,—,—,—,—,—
56,1980,2,26,0.0,—,—,—,—,—,—,—,—
57,1980,2,27,3.3,—,—,—,—,—,—,—,—
58,1980,2,28,1.7,—,—,—,—,—,—,—,—
59,1980,2,29,0.0,—,—,—,—,—,—,—,—
60,1980,3,1,0.0,—,—,—,—,—,—,—,—
61,1980,3,2,0.3,—,—,—,—,—,—,—,—
62,1980,3,3,0.3,—,—,—,—,—,—,—,—
63,1980,3,4,0.0,—,—,—,—,—,—,—,—
64,1980,3,5,0.0,—,—,—,—,—,—,—,—
65,1980,3,6,0.0,—,—,—,—,—,—,—,—
66,1980,3,7,0.1,—,—,—,—,—,—,—,—
67,1980,3,8,1.0,—,—,—,—,—,—,—,—
68,1980,3,9,0.5,—,—,—,—,—,—,—,—
69,1980,3,10,0.1,—,—,—,—,—,—,—,—
70,1980,3,11,0.0,—,—,—,—,—,—,—,—
71,1980,3,12,0.0,—,—,—,—,—,—,—,—
72,1980,3,13,0.0,—,—,—,—,—,—,—,—
73,1980,3,14,0.7,—,—,—,—,—,—,—,—
74,1980,3,15,0.0,—,—,—,—,—,—,—,—
75,1980,3,16,10.6,—,—,—,—,—,—,—,—
76,1980,3,17,3.8,—,—,—,—,—,—,—,—
77,1980,3,18,37.2,—,—,—,—,—,—,—,—
78,1980,3,19,1.9,—,—,—,—,—,—,—,—
79,1980,3,20,0.0,—,—,—,—,—,—,—,—
80,1980,3,21,1.4,—,—,—,—,—,—,—,—
81,1980,3,22,0.0,—,—,—,—,—,—,—,—
82,1980,3,23,0.0,—,—,—,—,—,—,—,—
83,1980,3,24,0.0,—,—,—,—,—,—,—,—
84,1980,3,25,0.0,—,—,—,—,—,—,—,—
85,1980,3,26,0.0,—,—,—,—,—,—,—,—
86,1980,3,27,0.0,—,—,—,—,—,—,—,—
87,1980,3,28,0.0,—,—,—,—,—,—,—,—
88,1980,3,29,3.8,—,—,—,—,—,—,—,—
89,1980,3,30,2.0,—,—,—,—,—,—,—,—
90,1980,3,31,0.0,—,—,—,—,—,—,—,—
91,1980,4,1,0.0,—,—,—,—,—,—,—,—
92,1980,4,2,71.2,—,—,—,—,—,—,—,—
93,1980,4,3,3.6,—,—,—,—,—,—,—,—
94,1980,4,4,0.4,—,—,—,—,—,—,—,—
95,1980,4,5,0.0,—,—,—,—,—,—,—,—
96,1980,4,6,0.0,—,—,—,—,—,—,—,—
97,1980,4,7,0.0,—,—,—,—,—,—,—,—
98,1980,4,8,0.0,—,—,—,—,—,—,—,—
99,1980,4,9,0.0,—,—,—,—,—,—,—,—
100,1980,4,10,13.8,—,—,—,—,—,—,—,—
101,1980,4,11,0.5,—,—,—,—,—,—,—,—
102,1980,4,12,0.0,—,—,—,—,—,—,—,—
