Category: All categories

Week,dengue: (Singapore)
2012-01-01,8
2012-01-08,8
2012-01-15,6
2012-01-22,10
2012-01-29,7
2012-02-05,5
2012-02-12,6
2012-02-19,9
2012-02-26,6
2012-03-04,5
2012-03-11,5
2012-03-18,7
2012-03-25,9
2012-04-01,8
2012-04-08,6
2012-04-15,5
2012-04-22,8
2012-04-29,6
2012-05-06,7
2012-05-13,8
2012-05-20,6
2012-05-27,5
2012-06-03,8
2012-06-10,8
2012-06-17,8
2012-06-24,8
2012-07-01,9
2012-07-08,13
2012-07-15,7
2012-07-22,9
2012-07-29,5
2012-08-05,11
2012-08-12,11
2012-08-19,4
2012-08-26,7
2012-09-02,7
2012-09-09,7
2012-09-16,7
2012-09-23,6
2012-09-30,9
2012-10-07,6
2012-10-14,7
2012-10-21,6
2012-10-28,9
2012-11-04,8
2012-11-11,9
2012-11-18,5
2012-11-25,8
2012-12-02,6
2012-12-09,5
2012-12-16,7
2012-12-23,5
2012-12-30,5
2013-01-06,10
2013-01-13,10
2013-01-20,13
2013-01-27,11
2013-02-03,16
2013-02-10,14
2013-02-17,12
2013-02-24,15
2013-03-03,16
2013-03-10,13
2013-03-17,8
2013-03-24,15
2013-03-31,19
2013-04-07,35
2013-04-14,33
2013-04-21,29
2013-04-28,40
2013-05-05,33
2013-05-12,29
2013-05-19,29
2013-05-26,60
2013-06-02,53
2013-06-09,100
2013-06-16,76
2013-06-23,47
2013-06-30,47
2013-07-07,32
2013-07-14,31
2013-07-21,24
2013-07-28,23
2013-08-04,16
2013-08-11,24
2013-08-18,21
2013-08-25,21
2013-09-01,15
2013-09-08,20
2013-09-15,20
2013-09-22,15
2013-09-29,25
2013-10-06,22
2013-10-13,20
2013-10-20,29
2013-10-27,22
2013-11-03,22
2013-11-10,21
2013-11-17,25
2013-11-24,18
2013-12-01,17
2013-12-08,16
2013-12-15,18
2013-12-22,13
2013-12-29,17
2014-01-05,22
2014-01-12,20
2014-01-19,17
2014-01-26,12
2014-02-02,13
2014-02-09,17
2014-02-16,14
2014-02-23,17
2014-03-02,17
2014-03-09,9
2014-03-16,9
2014-03-23,12
2014-03-30,14
2014-04-06,11
2014-04-13,13
2014-04-20,14
2014-04-27,16
2014-05-04,11
2014-05-11,14
2014-05-18,16
2014-05-25,17
2014-06-01,14
2014-06-08,19
2014-06-15,20
2014-06-22,18
2014-06-29,25
2014-07-06,33
2014-07-13,30
2014-07-20,31
2014-07-27,26
2014-08-03,27
2014-08-10,26
2014-08-17,26
2014-08-24,21
2014-08-31,18
2014-09-07,16
2014-09-14,14
2014-09-21,11
2014-09-28,16
2014-10-05,12
2014-10-12,10
2014-10-19,12
2014-10-26,14
2014-11-02,9
2014-11-09,10
2014-11-16,13
2014-11-23,12
2014-11-30,11
2014-12-07,10
2014-12-14,10
2014-12-21,9
2014-12-28,10
2015-01-04,10
2015-01-11,14
2015-01-18,10
2015-01-25,12
2015-02-01,9
2015-02-08,8
2015-02-15,8
2015-02-22,11
2015-03-01,9
2015-03-08,11
2015-03-15,9
2015-03-22,10
2015-03-29,7
2015-04-05,10
2015-04-12,8
2015-04-19,11
2015-04-26,8
2015-05-03,9
2015-05-10,13
2015-05-17,13
2015-05-24,10
2015-05-31,11
2015-06-07,10
2015-06-14,13
2015-06-21,15
2015-06-28,13
2015-07-05,11
2015-07-12,13
2015-07-19,15
2015-07-26,11
2015-08-02,10
2015-08-09,9
2015-08-16,11
2015-08-23,10
2015-08-30,9
2015-09-06,10
2015-09-13,13
2015-09-20,11
2015-09-27,12
2015-10-04,12
2015-10-11,11
2015-10-18,11
2015-10-25,12
2015-11-01,12
2015-11-08,12
2015-11-15,11
2015-11-22,11
2015-11-29,10
2015-12-06,14
2015-12-13,17
2015-12-20,11
2015-12-27,21
2016-01-03,27
2016-01-10,25
2016-01-17,22
2016-01-24,35
2016-01-31,32
2016-02-07,31
2016-02-14,29
2016-02-21,25
2016-02-28,21
2016-03-06,21
2016-03-13,19
2016-03-20,17
2016-03-27,18
2016-04-03,20
2016-04-10,17
2016-04-17,14
2016-04-24,13
2016-05-01,12
2016-05-08,14
2016-05-15,13
2016-05-22,13
2016-05-29,17
2016-06-05,14
2016-06-12,12
2016-06-19,14
2016-06-26,15
2016-07-03,13
2016-07-10,16
2016-07-17,15
2016-07-24,16
2016-07-31,16
2016-08-07,11
2016-08-14,14
2016-08-21,11
2016-08-28,30
2016-09-04,22
2016-09-11,18
2016-09-18,14
2016-09-25,9
2016-10-02,11
2016-10-09,14
2016-10-16,9
2016-10-23,10
2016-10-30,8
2016-11-06,8
2016-11-13,7
2016-11-20,8
2016-11-27,7
2016-12-04,5
2016-12-11,6
2016-12-18,3
2016-12-25,7
