Category: All categories

Month,dengue: (Singapore)
2012-01,10
2012-02,9
2012-03,9
2012-04,9
2012-05,11
2012-06,11
2012-07,13
2012-08,10
2012-09,10
2012-10,11
2012-11,11
2012-12,9
2013-01,14
2013-02,20
2013-03,18
2013-04,44
2013-05,50
2013-06,100
2013-07,45
2013-08,31
2013-09,27
2013-10,35
2013-11,31
2013-12,25
2014-01,26
2014-02,24
2014-03,18
2014-04,19
2014-05,20
2014-06,27
2014-07,42
2014-08,38
2014-09,22
2014-10,20
2014-11,16
2014-12,15
2015-01,15
2015-02,13
2015-03,14
2015-04,14
2015-05,17
2015-06,17
2015-07,20
2015-08,14
2015-09,16
2015-10,16
2015-11,16
2015-12,22
2016-01,38
2016-02,40
2016-03,28
2016-04,22
2016-05,19
2016-06,20
2016-07,22
2016-08,21
2016-09,27
2016-10,16
2016-11,11
2016-12,7
2017-01,11
2017-02,9
2017-03,11
2017-04,10
2017-05,13
2017-06,11
2017-07,12
2017-08,10
2017-09,10
2017-10,12
2017-11,11
2017-12,11
2018-01,11
2018-02,9
2018-03,9
2018-04,7
2018-05,19
2018-06,12
2018-07,11
2018-08,10
2018-09,10
2018-10,9
2018-11,12
2018-12,14
2019-01,18
2019-02,20
2019-03,14
2019-04,16
2019-05,21
2019-06,32
2019-07,44
2019-08,37
2019-09,27
2019-10,21
2019-11,27
2019-12,22
2020-01,25
2020-02,34
2020-03,28
2020-04,20
2020-05,27
2020-06,67
2020-07,78
2020-08,62
2020-09,32
2020-10,24
2020-11,17
2020-12,11
2021-01,9
2021-02,10
2021-03,11
2021-04,9
2021-05,10
2021-06,10
2021-07,10
2021-08,9
2021-09,9
2021-10,9
2021-11,8
2021-12,5
2022-01,9
2022-02,9
2022-03,16
2022-04,30
2022-05,48
2022-06,56
2022-07,48
2022-08,34
2022-09,26
2022-10,23
2022-11,17
2022-12,16
