Category: All categories

Week,dengue: (Singapore)
2022-01-02,12
2022-01-09,10
2022-01-16,12
2022-01-23,13
2022-01-30,13
2022-02-06,16
2022-02-13,14
2022-02-20,14
2022-02-27,18
2022-03-06,22
2022-03-13,23
2022-03-20,23
2022-03-27,28
2022-04-03,29
2022-04-10,45
2022-04-17,55
2022-04-24,74
2022-05-01,60
2022-05-08,70
2022-05-15,100
2022-05-22,78
2022-05-29,78
2022-06-05,91
2022-06-12,87
2022-06-19,88
2022-06-26,83
2022-07-03,82
2022-07-10,72
2022-07-17,65
2022-07-24,64
2022-07-31,62
2022-08-07,50
2022-08-14,52
2022-08-21,46
2022-08-28,51
2022-09-04,40
2022-09-11,44
2022-09-18,35
2022-09-25,34
2022-10-02,29
2022-10-09,40
2022-10-16,35
2022-10-23,34
2022-10-30,27
2022-11-06,25
2022-11-13,24
2022-11-20,26
2022-11-27,19
2022-12-04,27
2022-12-11,30
2022-12-18,20
2022-12-25,25
