Data Series,2022 Dec ,2022 Nov ,2022 Oct ,2022 Sep ,2022 Aug ,2022 Jul ,2022 Jun ,2022 May ,2022 Apr ,2022 Mar ,2022 Feb ,2022 Jan ,2021 Dec ,2021 Nov ,2021 Oct ,2021 Sep ,2021 Aug ,2021 Jul ,2021 Jun ,2021 May ,2021 Apr ,2021 Mar ,2021 Feb ,2021 Jan ,2020 Dec ,2020 Nov ,2020 Oct ,2020 Sep ,2020 Aug ,2020 Jul ,2020 Jun ,2020 May ,2020 Apr ,2020 Mar ,2020 Feb ,2020 Jan ,2019 Dec ,2019 Nov ,2019 Oct ,2019 Sep ,2019 Aug ,2019 Jul ,2019 Jun ,2019 May ,2019 Apr ,2019 Mar ,2019 Feb ,2019 Jan ,2018 Dec ,2018 Nov ,2018 Oct ,2018 Sep ,2018 Aug ,2018 Jul ,2018 Jun ,2018 May ,2018 Apr ,2018 Mar ,2018 Feb ,2018 Jan ,2017 Dec ,2017 Nov ,2017 Oct ,2017 Sep ,2017 Aug ,2017 Jul ,2017 Jun ,2017 May ,2017 Apr ,2017 Mar ,2017 Feb ,2017 Jan ,2016 Dec ,2016 Nov ,2016 Oct ,2016 Sep ,2016 Aug ,2016 Jul ,2016 Jun ,2016 May ,2016 Apr ,2016 Mar ,2016 Feb ,2016 Jan ,2015 Dec ,2015 Nov ,2015 Oct ,2015 Sep ,2015 Aug ,2015 Jul ,2015 Jun ,2015 May ,2015 Apr ,2015 Mar ,2015 Feb ,2015 Jan ,2014 Dec ,2014 Nov ,2014 Oct ,2014 Sep ,2014 Aug ,2014 Jul ,2014 Jun ,2014 May ,2014 Apr ,2014 Mar ,2014 Feb ,2014 Jan ,2013 Dec ,2013 Nov ,2013 Oct ,2013 Sep ,2013 Aug ,2013 Jul ,2013 Jun ,2013 May ,2013 Apr ,2013 Mar ,2013 Feb ,2013 Jan ,2012 Dec ,2012 Nov ,2012 Oct ,2012 Sep ,2012 Aug ,2012 Jul ,2012 Jun ,2012 May ,2012 Apr ,2012 Mar ,2012 Feb ,2012 Jan 
Total International Visitor Arrivals By Inbound Tourism Markets,931337,816340,816833,782215,728744,726739,543733,418458,295095,121207,67765,57174,92796,41179,24006,19009,15887,18517,10029,14190,25737,27202,18141,23366,24170,14749,13399,9500,8912,6843,2171,880,750,240001,732966,1688102,1724961,1533668,1530479,1463543,1736102,1802593,1551847,1487791,1596724,1564664,1499051,1624593,1603217,1406985,1467380,1415149,1683122,1732896,1544679,1470891,1544248,1584406,1491970,1563359,1569616,1397330,1402299,1320050,1559283,1632135,1387601,1363897,1470750,1480161,1361010,1480479,1506134,1235433,1237675,1144063,1481876,1622405,1270531,1357543,1393972,1406607,1335097,1412123,1424978,1203992,1246947,1131976,1445062,1519233,1184747,1222836,1208624,1201648,1188818,1252608,1360541,1144230,1203527,1098626,1362935,1408400,1181422,1208532,1245307,1297551,1238239,1345842,1367404,1184002,1203746,1176142,1483520,1419657,1288950,1288282,1274246,1368891,1221365,1291718,1360536,1212079,1192580,1051348,1313604,1283611,1157739,1146448,1201953,1243133,1134554,1198507
  Southeast Asia,438844,358257,374927,340369,315820,332161,269088,204656,137294,41170,18760,17563,30006,12937,6448,2774,1933,1968,1561,4478,7262,7331,5666,6786,8826,6457,6378,3770,2833,2310,1100,574,503,88027,247016,528985,662907,565680,555996,511664,520958,617788,622117,535242,554453,530303,455405,491810,644044,514632,533250,497316,509153,583679,648291,533719,556681,553248,451842,495111,641734,503852,501024,464113,477817,560387,567156,502134,555812,534535,437738,478812,637752,465948,471598,413178,447752,607290,493485,541795,516058,499023,440596,473005,612913,455128,465052,414155,444137,579570,496392,512074,478213,461999,380389,448133,619198,463159,485039,436327,480265,568294,552708,549855,511901,508913,440212,497205,626753,505058,512989,445923,585102,512094,557007,534890,497388,523832,405346,460013,593887,484855,465620,407516,517640,481014,502674,490836,493900,484166,424993,432507
    Brunei Darussalam,7324,4273,3733,3809,3426,3239,2202,2271,807,280,163,113,231,138,121,70,81,104,64,48,80,119,84,108,170,104,120,91,8,14,1,0,3,514,1764,5364,10298,6366,4687,6356,5156,5882,5276,5370,5159,7996,4105,5953,10490,6118,5017,6133,5168,5769,5897,5250,5766,8171,5105,6076,10761,5258,4202,5387,4610,5625,5758,4645,4662,7835,4379,5297,10229,5256,4022,5551,4665,6409,5061,5768,5466,7100,4768,5596,12379,6191,4825,5761,4585,7237,4992,5378,4977,6989,4759,5521,11998,5806,5440,5601,5079,6305,7393,6254,4741,7545,5076,6418,13399,7346,5879,4824,6109,5922,7837,5574,4486,8290,4427,5773,12353,6194,5070,4106,5860,5485,6980,4649,4472,6942,4782,4862
    Indonesia,197260,144444,133408,120169,108252,119086,110094,86745,58330,13622,6872,5885,11177,5756,1954,669,315,156,519,1800,3278,3032,2176,2625,4204,3121,2424,1428,1027,793,301,196,208,46499,115351,282144,339505,266774,251936,237637,228095,294173,311036,215825,240868,249164,213991,261622,321060,226425,225244,224629,217787,263277,332990,227536,235260,260685,221178,265384,330156,231705,221036,216278,217339,268010,281171,220534,248048,256636,208853,254634,329994,219845,213070,186610,210626,319759,235444,258606,215353,238160,216284,249876,311475,200687,204574,187629,205671,305600,238403,238688,207138,211347,184183,236295,315395,219369,226630,206593,234710,296880,278181,267714,230236,246308,219036,284126,321257,238233,246115,218751,328174,260700,295907,251092,218602,259244,196059,254725,307155,229432,215668,195481,276938,246772,253510,228359,214289,227695,211738,230500
    Malaysia,95472,72305,77092,81914,63905,61575,49878,43214,25319,10610,4468,5203,10939,2537,2104,797,683,554,402,844,1442,1530,1130,1255,1405,1270,1415,1063,718,626,464,157,96,14887,40829,90720,133278,111473,97378,98438,100225,93071,102074,106518,95076,106200,88706,88293,142986,117793,103676,106880,103490,94611,113049,91244,98351,109897,85212,86833,135260,105404,96015,90837,91135,87138,102776,90335,94550,105372,85058,84504,128897,101549,92736,93519,81655,100397,91901,92668,97070,98135,85850,87208,130551,106214,88338,93334,88834,102347,100074,100340,90515,101929,82408,86193,143276,106313,97184,99339,93222,101461,108945,100648,94982,107002,91181,89482,142131,129955,98097,98973,116392,93299,107286,109517,95414,108683,91895,89300,135669,124008,93945,90484,107841,90449,107356,99568,96892,108054,88451,88970
    Myanmar,10523,9070,9078,8341,8594,10398,9095,6218,5474,3516,2024,2954,2991,1242,312,159,87,247,175,720,1176,964,905,1223,716,472,331,244,155,52,8,7,6,4762,8018,11341,13536,12598,13824,11742,11942,14805,12899,13300,16252,13499,10522,11074,12753,11846,12874,10211,10759,13189,12008,12274,16422,13797,9594,9883,13462,11402,11616,9888,10934,12619,12144,11705,19610,12656,9783,9902,13691,7648,8218,7102,8012,9937,9731,9470,14495,10517,7090,7703,9680,7625,8762,7461,8000,8757,9326,9162,12969,9681,6204,7825,9859,7973,8958,8294,8903,9345,9530,9538,15255,9789,7513,7807,9892,7531,8934,7190,7020,8427,7718,8432,13031,8693,5680,6819,8073,6870,6935,6502,6527,7699,7397,8984,12114,8197,7038,6710
    Philippines,56507,54793,56747,44856,42542,45338,32139,22379,16940,6250,2026,1469,1966,2450,1042,655,392,438,262,745,789,1112,880,763,1175,710,1076,360,480,400,128,65,32,11860,32073,49522,76603,72701,73812,62660,66587,68893,73977,89800,83453,59383,52211,49245,72787,66526,68218,57241,63556,64757,68932,83657,79128,62876,45279,45184,65926,64826,60194,52500,53539,58727,62002,77671,81952,61816,51160,46187,68624,55814,57924,45804,50362,55005,56702,76646,74245,58963,47217,44334,68114,60583,58357,48209,52997,49724,53329,72159,72259,53649,41155,42839,64526,53508,58572,47246,51074,49506,56224,76976,73558,57050,44539,43702,64044,55195,61360,47879,51817,49225,55868,76929,73215,63521,44540,44201,58363,55125,56058,46880,45775,45249,49957,72484,75052,58682,50931,42248
    Thailand,36005,34566,52274,32426,33284,36615,23406,18487,10647,3038,1622,1060,1421,361,623,290,264,334,99,163,246,178,179,221,323,195,229,260,206,243,158,138,153,2898,24667,34152,40733,40986,63335,39776,39919,51916,35558,45735,57010,45072,33685,34822,37270,38796,65734,40580,40452,53379,38113,49858,61015,47744,34566,38143,38710,39331,61448,39692,40993,48620,34623,47074,58504,47025,38502,36813,43619,35520,58094,36911,39434,49788,36982,52331,62514,48381,38650,44330,45441,38576,63693,39567,39579,45729,40121,45674,47838,43504,29889,36798,39035,35138,53916,35122,40849,43785,39083,46683,56136,46338,35161,35263,42796,34685,58887,36254,36548,41912,36018,48171,54728,44202,30311,32897,40548,33908,57136,34926,38137,34542,34526,42583,56217,43230,33176,28725
    Vietnam,27660,30175,36242,41129,48939,48870,36857,21570,16657,2932,1055,627,840,407,264,104,89,116,36,147,239,363,286,553,803,566,759,310,230,169,40,11,5,5390,19791,46350,38451,45125,41501,44012,59034,78515,72441,49071,45613,41153,44283,32747,37772,38089,41185,43407,60051,79816,69697,53025,48758,41109,42823,35882,38618,36964,39013,40270,51866,71153,62831,43434,39370,37887,34586,35367,35494,33482,32192,32777,46773,59800,52449,40046,38398,33122,35731,29145,30159,29284,30686,28282,39519,54711,45490,35974,36472,30907,28150,28632,31185,29938,30552,28960,41775,55951,48999,36630,30234,31060,33053,26071,28896,27353,29011,28276,34980,47834,42194,30496,31863,27732,28981,22879,28176,25249,25749,25917,33230,46521,39560,30562,29837,28214,26059,27160
    Other Markets In Southeast Asia,8093,8631,6353,7725,6878,7040,5417,3772,3120,922,530,252,441,46,28,30,22,19,4,11,12,33,26,38,30,19,24,14,9,13,0,0,0,1217,4523,9392,10503,9657,9523,11043,10000,10533,8856,9623,11022,7836,7902,8054,8926,9039,11302,8235,7890,8881,7605,10875,11981,8969,8085,7726,8841,8962,7500,9261,7401,8495,5851,6736,9116,5308,5417,6108,7204,6834,5342,4904,6225,6195,5215,6260,8517,4645,5006,4813,5114,5968,5817,3912,4952,5465,4657,4699,6045,3993,3641,4030,3924,5114,3787,5172,4653,5061,4353,5412,6759,3821,4653,4336,4338,4760,4706,3776,4062,4775,4179,4679,6049,3467,3453,3419,3550,4069,5059,3220,3332,4297,3388,3647,5027,3152,2818,3332
