,total_rainfall,mean_temperature,minimum_temperature,minimum_temperature_mean,maximum_temperature,maximum_temperature_mean,mean_wind_speed,max_wind_speed,max_wind_speed_mean,dengue_cases,interest,inbound,outbound,year,month,cumulative_total_rainfall,cumulative_dengue_cases
2012-M01,105.5,26.686666666666667,21.5,24.283333333333335,32.5,32.5,9.106666666666666,64.8,32.089999999999996,338,10,1198507,575380,2012,1,105.5,338
2012-M02,83.6,27.137931034482758,22.7,24.75862068965517,32.9,32.9,9.889655172413793,42.1,31.655172413793103,258,9,1134554,528376,2012,2,189.1,596
2012-M03,313.4,27.016129032258064,21.1,24.44193548387097,33.2,33.2,6.864516129032259,56.9,33.02258064516129,231,9,1243133,687345,2012,3,502.5,827
2012-M04,260.6,27.613333333333333,21.9,24.753333333333334,32.9,32.9,6.38,50.0,31.55666666666667,363,9,1201953,618408,2012,4,763.1,1190
2012-M05,292.0,28.174193548387095,22.0,24.787096774193547,33.7,33.7,6.996774193548387,53.6,33.58387096774193,338,11,1146448,672397,2012,5,1055.1,1528
2012-M06,53.0,28.703333333333333,22.8,26.34333333333333,32.7,32.7,8.979999999999999,41.4,32.20333333333333,468,11,1157739,785014,2012,6,1108.1,1996
2012-M07,130.8,27.741935483870968,22.9,25.348387096774193,32.1,32.1,9.238709677419354,49.7,34.435483870967744,601,13,1283611,567318,2012,7,1238.8999999999999,2597
2012-M08,119.0,27.958064516129035,23.1,25.416129032258063,32.7,32.7,11.290322580645162,52.9,38.093548387096774,436,10,1313604,573261,2012,8,1357.8999999999999,3033
2012-M09,107.6,27.926666666666666,22.5,25.279999999999998,32.7,32.7,8.426666666666668,79.6,33.54333333333333,322,10,1051348,615076,2012,9,1465.4999999999998,3355
2012-M10,122.2,27.73548387096774,23.5,25.206451612903226,33.1,33.1,6.551612903225807,49.0,29.858064516129033,520,11,1192580,660133,2012,10,1587.6999999999998,3875
2012-M11,208.20000000000002,27.12,23.4,24.723333333333336,32.8,32.8,5.886666666666667,46.8,28.753333333333334,368,11,1212079,795232,2012,11,1795.8999999999999,4243
2012-M12,363.4,26.693548387096776,22.2,24.383870967741935,32.2,32.2,6.409677419354838,38.9,28.948387096774194,389,9,1360536,969868,2012,12,2159.2999999999997,4632
2013-M01,262.0,27.04516129032258,21.6,24.55483870967742,35.2,35.2,9.02258064516129,56.2,30.41290322580645,825,14,1291718,534554,2013,1,262.0,825
2013-M02,395.2,26.532142857142855,21.5,24.303571428571427,32.5,32.5,7.757142857142857,50.4,29.62857142857143,1158,20,1221365,586868,2013,2,657.2,1983
2013-M03,85.8,28.29032258064516,23.9,25.641935483870967,33.8,33.8,9.351612903225806,43.9,31.864516129032257,1137,18,1368891,737164,2013,3,743.0,3120
2013-M04,159.4,28.209999999999997,22.1,25.346666666666668,34.9,34.9,6.373333333333333,75.2,33.29,2261,44,1274246,605614,2013,4,902.4,5381
2013-M05,211.4,28.200000000000003,22.9,25.62258064516129,33.9,33.9,6.438709677419355,45.7,30.47741935483871,2356,50,1288282,697209,2013,5,1113.8,7737
2013-M06,111.39999999999999,28.973333333333336,22.6,25.866666666666667,34.5,34.5,6.2733333333333325,44.3,30.540000000000003,3211,100,1288950,870655,2013,6,1225.2,10948
