latlong,postal_code,postal_sector,postal_district,general_location
"1.3748072,103.9592736",510480,51,18,"Tampines, Pasir Ris"
"1.3555265,103.9526749",521222,52,18,"Tampines, Pasir Ris"
"1.3687839,103.8754532",550139,55,19,"Serangoon Garden, Hougang, Punggol"
"1.3176811,103.8611104",330006,33,12,"Balestier, Toa Payoh, Serangoon"
"1.382582,103.868615",807217,80,28,Seletar
"1.311962,103.906838",425104,42,15,"Katong, Joo Chiat, Amber Road"
"1.397631,103.888351",543336,54,19,"Serangoon Garden, Hougang, Punggol"
"1.291367,103.827583",161078,16,3,"Queenstown, Tiong Bahru"
"1.3446603,103.8814145",538480,53,19,"Serangoon Garden, Hougang, Punggol"
"1.304397,103.862711",190012,19,7,"Middle Road, Golden Mile"
"1.3125262,103.9220962",459809,45,15,"Katong, Joo Chiat, Amber Road"
"1.364533,103.869177",556270,55,19,"Serangoon Garden, Hougang, Punggol"
"1.379938,103.735073",680453,68,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang"
"1.30953,103.770586",120424,12,5,"Pasir Panjang, Hong Leong Garden, Clementi New Town"
"1.303648,103.883814",431001,43,15,"Katong, Joo Chiat, Amber Road"
"1.309388,103.793419",271013,27,10,"Ardmore, Bukit Timah, Holland Road, Tanglin"
"1.316776,103.926136",455317,45,15,"Katong, Joo Chiat, Amber Road"
"1.361689,103.891451",533902,53,19,"Serangoon Garden, Hougang, Punggol"
"1.353329,103.959804",520331,52,18,"Tampines, Pasir Ris"
"1.294591,103.803046",140151,14,3,"Queenstown, Tiong Bahru"
"1.291527,103.803472",140161,14,3,"Queenstown, Tiong Bahru"
"1.3648579,103.8907",530023,53,19,"Serangoon Garden, Hougang, Punggol"
"1.300125,103.81372",248490,24,10,"Ardmore, Bukit Timah, Holland Road, Tanglin"
"1.4294363,103.7763951",730307,73,25,"Kranji, Woodgrove"
"1.3092479,103.7967648",271001,27,10,"Ardmore, Bukit Timah, Holland Road, Tanglin"
"1.2830718,103.8395316",169016,16,3,"Queenstown, Tiong Bahru"
"1.3458111,103.8682472",358733,35,13,"Macpherson, Braddell"
"1.41986,103.847019",764431,76,27,"Yishun, Sembawang"
"1.326895,103.916294",418359,41,14,"Geylang, Eunos"
"1.43778,103.792525",733889,73,25,"Kranji, Woodgrove"
"1.3633288,103.9597097",510138,51,18,"Tampines, Pasir Ris"
"1.3107213,103.9221399",454828,45,15,"Katong, Joo Chiat, Amber Road"
"1.308743,103.887095",390093,39,14,"Geylang, Eunos"
"1.309625,103.926218",455839,45,15,"Katong, Joo Chiat, Amber Road"
"1.441806,103.7919604",730848,73,25,"Kranji, Woodgrove"
"1.388538,103.835592",789140,78,26,"Upper Thomson, Springleaf"
"1.391138,103.9083519",542183,54,19,"Serangoon Garden, Hougang, Punggol"
"1.3424918,103.6952245",640701,64,22,Jurong
"1.347639,103.936553",520817,52,18,"Tampines, Pasir Ris"
"1.3383719,103.9286578",479257,47,16,"Bedok, Upper East Coast, East Wood, Kew Drive"
"1.390292,103.890438",540319,54,19,"Serangoon Garden, Hougang, Punggol"
"1.357156,103.944661",520401,52,18,"Tampines, Pasir Ris"
"1.3314963,103.8731082",348978,34,13,"Macpherson, Braddell"
"1.3431944,103.7148097",640200,64,22,Jurong
"1.305528,103.913055",440043,44,15,"Katong, Joo Chiat, Amber Road"
"1.310053,103.839885",228575,22,9,"Orchard, Cairnhill, River Valley"
"1.4307974,103.8357435",760204,76,27,"Yishun, Sembawang"
"1.35984,103.76462",669567,66,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang"
"1.353415,103.886286",530123,53,19,"Serangoon Garden, Hougang, Punggol"
"1.3116951,103.851402",210013,21,8,Little India
"1.371095,103.948035",513528,51,18,"Tampines, Pasir Ris"
"1.35563,103.8759",545542,54,19,"Serangoon Garden, Hougang, Punggol"
"1.296781,103.892789",437918,43,15,"Katong, Joo Chiat, Amber Road"
"1.336037,103.924854",470720,47,16,"Bedok, Upper East Coast, East Wood, Kew Drive"
"1.3120044,103.9155887",426808,42,15,"Katong, Joo Chiat, Amber Road"
"1.311798,103.923866",458950,45,15,"Katong, Joo Chiat, Amber Road"
"1.315965,103.884659",389778,38,14,"Geylang, Eunos"
"1.319586,103.945801",460161,46,16,"Bedok, Upper East Coast, East Wood, Kew Drive"
"1.4374434,103.8318144",760174,76,27,"Yishun, Sembawang"
"1.3438681,103.741394",600264,60,22,Jurong
"1.332058,103.722379",610063,61,22,Jurong
"1.358232,103.947458",520418,52,18,"Tampines, Pasir Ris"
"1.3485515,103.7210893",640469,64,22,Jurong
