year,total_rainfall,mean_temperature,minimum_temperature,minimum_temperature_mean,maximum_temperature,maximum_temperature_mean,mean_wind_speed,max_wind_speed,max_wind_speed_mean,dengue_cases,inbound,outbound
2012,2159.3,27.543561643835616,21.1,24.976986301369863,33.7,33.7,7.994794520547945,79.6,32.32493150684932,4632,14496092,8047808
2013,2748.4,27.654794520547945,20.9,24.975616438356166,35.2,35.2,7.54986301369863,75.2,31.392876712328768,22194,15567923,8647066
2014,1538.4,27.918356164383564,21.1,25.267123287671232,34.5,34.5,8.961369863013699,70.6,33.441095890410956,18168,15095152,8902705
2015,1325.0,28.22472826086957,21.9,25.76684782608696,34.4,34.4,9.850815217391304,59.4,32.93396739130435,11303,15231469,9125331
2016,1899.1,28.44478021978022,21.6,25.806043956043954,35.0,35.0,8.297252747252747,65.2,32.75027472527473,13179,16403459,9474205
2017,2053.8,27.696153846153845,21.8,25.2478021978022,34.6,34.6,8.41043956043956,57.6,31.897527472527475,2776,17424611,9888852
2018,1708.2,27.884383561643833,21.3,25.354520547945203,35.0,35.0,8.771780821917808,55.4,32.11287671232877,3285,18508302,10378329
2019,1367.5,28.44301369863014,21.9,25.918356164383564,34.8,34.8,10.292328767123287,57.6,33.60931506849315,15998,19116016,10710717
2020,2237.2,28.01544715447155,21.7,25.440650406504066,34.6,34.6,9.013279132791329,57.4,32.03983739837398,35121,2742443,1543007
2021,2534.2,27.928296703296702,21.9,25.277747252747254,34.7,34.7,8.366208791208791,57.4,32.754120879120876,5264,330059,833107
2022,2132.6,27.881043956043957,22.2,25.1728021978022,35.4,35.4,7.832142857142857,57.4,31.62115384615385,32175,6305640,5154428
