month,rh_extremes_minimum
1982-01,49
1982-02,49
1982-03,51
1982-04,54
1982-05,57
1982-06,53
1982-07,38
1982-08,52
1982-09,49
1982-10,49
1982-11,47
1982-12,56
1983-01,53
1983-02,41
1983-03,40
1983-04,39
1983-05,58
1983-06,51
1983-07,54
1983-08,44
1983-09,55
1983-10,47
1983-11,49
1983-12,57
1984-01,55
1984-02,58
1984-03,56
1984-04,55
1984-05,54
1984-06,52
1984-07,55
1984-08,60
1984-09,49
1984-10,53
1984-11,58
1984-12,58
1985-01,49
1985-02,51
1985-03,56
1985-04,55
1985-05,55
1985-06,43
1985-07,50
1985-08,53
1985-09,48
1985-10,43
1985-11,54
1985-12,56
1986-01,55
1986-02,48
1986-03,55
1986-04,54
1986-05,48
1986-06,50
1986-07,48
1986-08,40
1986-09,54
1986-10,57
1986-11,53
1986-12,55
1987-01,56
1987-02,47
1987-03,50
1987-04,51
1987-05,59
1987-06,47
1987-07,55
1987-08,57
1987-09,51
1987-10,49
1987-11,54
1987-12,57
1988-01,57
1988-02,55
1988-03,45
1988-04,54
1988-05,53
1988-06,45
1988-07,57
1988-08,54
1988-09,51
1988-10,46
1988-11,58
1988-12,58
1989-01,55
1989-02,51
1989-03,60
1989-04,53
1989-05,55
1989-06,53
1989-07,53
1989-08,48
1989-09,50
1989-10,51
1989-11,56
1989-12,58
1990-01,52
1990-02,38
1990-03,39
1990-04,44
1990-05,45
1990-06,46
1990-07,53
1990-08,46
1990-09,39
1990-10,50
1990-11,49
1990-12,58
1991-01,50
1991-02,51
1991-03,50
1991-04,49
1991-05,57
1991-06,56
1991-07,44
1991-08,43
1991-09,58
1991-10,40
1991-11,53
1991-12,61
1992-01,55
1992-02,49
1992-03,54
1992-04,44
1992-05,53
1992-06,52
1992-07,55
1992-08,46
1992-09,45
1992-10,48
1992-11,59
1992-12,60
1993-01,58
1993-02,50
1993-03,56
1993-04,51
1993-05,46
1993-06,50
1993-07,52
1993-08,51
1993-09,45
1993-10,51
1993-11,57
1993-12,57
